青白 (あおじろ)
土方 (どかた)
読書 (どくしょ)
読本 (どくほん)
時計 (どけい)
土台 (どだい)
土間 (どま)
土曜 (どよう)
土用 (どよう)
内科 (ないか)
内角 (ないかく)
内外 (ないがい)
内国 (ないこく)
内心 (ないしん)
内声 (ないせい)
内線 (ないせん)
内地 (ないち)
内力 (ないりょく)
中間 (なかま)
長雨 (ながあめ)
長月 (ながつき)
長年 (ながねん)
長話 (ながばなし)
長引 (ながび)
名高 (なだか)
夏場 (なつば)
夏山 (なつやま)
何分 (なにぶん)
名前 (なまえ)
生首 (なまくび)
南下 (なんか)
何回 (なんかい)
南海 (なんかい)
南国 (なんごく)
何時 (なんじ)
南西 (なんせい)
何台 (なんだい)
南東 (なんとう)
何日 (なんにち)
何人 (なんにん)
何年 (なんねん)
何人 (なんぴと)
何分 (なんぷん)
南北 (なんぼく)
南方 (なんぽう)
肉牛 (にくぎゅう)
肉食 (にくしょく)
肉親 (にくしん)
肉声 (にくせい)
肉体 (にくたい)
二元 (にげん)
西風 (にしかぜ)
西口 (にしぐち)
西日 (にしび)
日時 (にちじ)
日夜 (にちや)
日曜 (にちよう)
日記 (にっき)
日計 (にっけい)
日光 (にっこう)
日食 (にっしょく)
日数 (にっすう)
日直 (にっちょく)
日当 (にっとう)
二分 (にぶん)
入園 (にゅうえん)
入会 (にゅうかい)
入国 (にゅうこく)
入室 (にゅうしつ)
入社 (にゅうしゃ)
入場 (にゅうじょう)
入電 (にゅうでん)
入門 (にゅうもん)
入用 (にゅうよう)
人形 (にんぎょう)
人間 (にんげん)
人数 (にんずう)
音色 (ねいろ)
年間 (ねんかん)
年少 (ねんしょう)
年数 (ねんすう)
年長 (ねんちょう)
年頭 (ねんとう)
年内 (ねんない)
年来 (ねんらい)
野天 (のてん)
野中 (のなか)
野原 (のはら)
野山 (のやま)
白紙 (はくし)
白書 (はくしょ)
白色 (はくしょく)
白昼 (はくちゅう)
白鳥 (はくちょう)
白米 (はくまい)
方船 (はこぶね)
八分 (はちぶ)
八方 (はっぽう)
花園 (はなぞの)
花道 (はなみち)
母親 (ははおや)
羽目 (はめ)
早馬 (はやうま)
半円 (はんえん)
半角 (はんかく)
半紙 (はんし)
半数 (はんすう)
半月 (はんつき)
半時 (はんとき)
半年 (はんとし)
半日 (はんにち)
半分 (はんぶん)
場合 (ばあい)
買春 (ばいしゅん)
売春 (ばいしゅん)
売店 (ばいてん)
売買 (ばいばい)
売名 (ばいめい)
場数 (ばかず)
馬車 (ばしゃ)
馬場 (ばば)
馬力 (ばりき)
番外 (ばんがい)
番組 (ばんぐみ)
万国 (ばんこく)
番線 (ばんせん)
番台 (ばんだい)
番地 (ばんち)
番茶 (ばんちゃ)
番頭 (ばんとう)
番人 (ばんにん)
万人 (ばんにん)
東口 (ひがしぐち)
引合 (ひきあい)
引当 (ひきあて)
引金 (ひきがね)
引算 (ひきざん)
日毎 (ひごと)
一言 (ひとこと)
人里 (ひとざと)
一時 (ひととき)
人前 (ひとまえ)
日歩 (ひぶ)
火元 (ひもと)
百聞 (ひゃくぶん)
百科 (ひゃっか)
昼間 (ひるま)
広場 (ひろば)
広間 (ひろま)
白夜 (びゃくや)
風雨 (ふうう)
風雲 (ふううん)
風光 (ふうこう)
風車 (ふうしゃ)
風雪 (ふうせつ)
風船 (ふうせん)
風体 (ふうてい)
風土 (ふうど)
風力 (ふうりょく)
父兄 (ふけい)
太字 (ふとじ)
船出 (ふなで)
父母 (ふぼ)
冬場 (ふゆば)
冬山 (ふゆやま)
古里 (ふるさと)
古手 (ふるて)
古本 (ふるほん)
歩合 (ぶあい)
分科 (ぶんか)
文科 (ぶんか)
分会 (ぶんかい)
文教 (ぶんきょう)
分家 (ぶんけ)
分校 (ぶんこう)
文語 (ぶんご)
文才 (ぶんさい)
分子 (ぶんし)
分室 (ぶんしつ)
分社 (ぶんしゃ)
文書 (ぶんしょ)
分数 (ぶんすう)
文体 (ぶんたい)
文通 (ぶんつう)
分母 (ぶんぼ)
文明 (ぶんめい)
分野 (ぶんや)
文楽 (ぶんらく)
分立 (ぶんりつ)
米作 (べいさく)
米食 (べいしょく)
方角 (ほうがく)
方丸 (ほうがん)
方形 (ほうけい)
方言 (ほうげん)
方正 (ほうせい)
方体 (ほうたい)
北上 (ほくじょう)
北西 (ほくせい)
北東 (ほくとう)
歩行 (ほこう)
星空 (ほしぞら)
細長 (ほそなが)
北方 (ほっぽう)
歩道 (ほどう)
本科 (ほんか)
本会 (ほんかい)
本家 (ほんけ)
本国 (ほんごく)
本紙 (ほんし)
本社 (ほんしゃ)
本書 (ほんしょ)
本心 (ほんしん)
本数 (ほんすう)
本線 (ほんせん)
本船 (ほんせん)
本体 (ほんたい)
本店 (ほんてん)
本当 (ほんとう)
本道 (ほんどう)
本場 (ほんば)
本番 (ほんばん)
本元 (ほんもと)
本来 (ほんらい)
本来 (ほんらい)
母音 (ぼいん)
木刀 (ぼくとう)
母校 (ぼこう)
母国 (ぼこく)
母語 (ぼご)
母子 (ぼし)
母船 (ぼせん)
母体 (ぼたい)
間合 (まあい)
毎朝 (まいあさ)
毎回 (まいかい)
毎週 (まいしゅう)
毎時 (まいじ)
毎月 (まいつき)
毎年 (まいとし)
毎日 (まいにち)
毎年 (まいねん)
毎夜 (まいよ)
前足 (まえあし)
前売 (まえうり)
前金 (まえきん)
間男 (まおとこ)
間近 (まぢか)
間近 (まぢか)
間遠 (まどお)
間引 (まび)
丸木 (まるき)
丸太 (まるた)
万一 (まんいち)
万一 (まんいち)
万円 (まんえん)
万人 (まんにん)
見合 (みあ)
見方 (みかた)
見切 (みき)
三毛 (みけ)
見知 (みし)
水色 (みずいろ)
水鳥 (みずどり)
水引 (みずひき)
店先 (みせさき)
店番 (みせばん)
見通 (みとお)
見直 (みなお)
見回 (みまわ)
見回 (みまわ)
明星 (みょうじょう)
明朝 (みょうちょう)
明日 (みょうにち)
明年 (みょうねん)
麦茶 (むぎちゃ)
室町 (むろまち)
名家 (めいか)
名画 (めいが)
明記 (めいき)
名言 (めいげん)
明言 (めいげん)
名工 (めいこう)
明細 (めいさい)
名作 (めいさく)
明色 (めいしょく)
名数 (めいすう)
名声 (めいせい)
明知 (めいち)
名刀 (めいとう)
名答 (めいとう)
名答 (めいとう)
明白 (めいはく)
名馬 (めいば)
名分 (めいぶん)
名門 (めいもん)
目方 (めかた)
目頭 (めがしら)
目線 (めせん)
目星 (めぼし)
目元 (めもと)
毛頭 (もうとう)
目算 (もくさん)
目前 (もくぜん)
木馬 (もくば)
木曜 (もくよう)
木工 (もっこう)
元手 (もとで)
門下 (もんか)
門外 (もんがい)
門戸 (もんこ)
門前 (もんぜん)
門弟 (もんてい)
門番 (もんばん)
夜間 (やかん)
野外 (やがい)
夜学 (やがく)
夜光 (やこう)
夜行 (やこう)
矢先 (やさき)
野手 (やしゅ)
夜食 (やしょく)
野心 (やしん)
野人 (やじん)
野生 (やせい)
野草 (やそう)
野鳥 (やちょう)
夜半 (やはん)
夜分 (やぶん)
山間 (やまあい)
山国 (やまぐに)
山里 (やまざと)
山場 (やまば)
夜来 (やらい)
夕方 (ゆうがた)
夕食 (ゆうしょく)
友人 (ゆうじん)
雪国 (ゆきぐに)
雪見 (ゆきみ)
行方 (ゆくえ)
百合 (ゆり)
用言 (ようげん)
用語 (ようご)
用紙 (ようし)
用心 (ようじん)
用水 (ようすい)
用地 (ようち)
曜日 (ようび)
夜空 (よぞら)
夜中 (よなか)
夜道 (よみち)
弱気 (よわき)
弱音 (よわね)
来夏 (らいか)
来会 (らいかい)
来月 (らいげつ)
来光 (らいこう)
来校 (らいこう)
来社 (らいしゃ)
来秋 (らいしゅう)
来週 (らいしゅう)
来春 (らいしゅん)
来場 (らいじょう)
来店 (らいてん)
来日 (らいにち)
来年 (らいねん)
楽園 (らくえん)
楽天 (らくてん)
理科 (りか)
理学 (りがく)
力作 (りきさく)
理工 (りこう)
理知 (りち)
立夏 (りっか)
立秋 (りっしゅう)
立春 (りっしゅん)
立食 (りっしょく)
立体 (りったい)
立冬 (りっとう)
林間 (りんかん)
林道 (りんどう)
林野 (りんや)
六曜 (ろくよう)
相生 (あいおい)
相方 (あいかた)
相対 (あいたい)
相次 (あいつ)
相通 (あいつう)
相手 (あいて)
青葉 (あおば)
青物 (あおもの)
悪意 (あくい)
悪手 (あくしゅ)
悪事 (あくじ)
悪食 (あくじき)
悪玉 (あくだま)
悪人 (あくにん)
悪病 (あくびょう)
悪名 (あくみょう)
悪名 (あくめい)
悪役 (あくやく)
悪友 (あくゆう)
悪用 (あくよう)
足軽 (あしがる)
味見 (あじみ)
小豆 (あずき)
悪化 (あっか)
悪漢 (あっかん)
悪口 (あっこう)
油絵 (あぶらえ)
暗雲 (あんうん)
暗記 (あんき)
暗黒 (あんこく)
暗号 (あんごう)
暗算 (あんざん)
暗室 (あんしつ)
暗所 (あんしょ)
暗色 (あんしょく)
安心 (あんしん)
安心 (あんしん)
安住 (あんじゅう)
安全 (あんぜん)
安息 (あんそく)
暗中 (あんちゅう)
安直 (あんちょく)
安定 (あんてい)
安楽 (あんらく)
委員 (いいん)
医院 (いいん)
家路 (いえじ)
医科 (いか)
意外 (いがい)
医学 (いがく)
意気 (いき)
委曲 (いきょく)
医局 (いきょく)
医業 (いぎょう)
意見 (いけん)
意向 (いこう)
委細 (いさい)
意思 (いし)
石橋 (いしばし)
医者 (いしゃ)
医書 (いしょ)
意地 (いじ)
板場 (いたば)
板前 (いたまえ)
医大 (いだい)
一意 (いちい)
一員 (いちいん)
一事 (いちじ)
一次 (いちじ)
一助 (いちじょ)
一度 (いちど)
一部 (いちぶ)
一命 (いちめい)
一面 (いちめん)
意中 (いちゅう)
一様 (いちよう)
一流 (いちりゅう)
一路 (いちろ)
一期 (いっき)
一向 (いっこう)
一式 (いっしき)
一章 (いっしょう)
一身 (いっしん)
一世 (いっせい)
一定 (いってい)
一転 (いってん)
一等 (いっとう)
一発 (いっぱつ)
一筆 (いっぴつ)
一服 (いっぷく)
意図 (いと)
意表 (いひょう)
意味 (いみ)
医薬 (いやく)
員外 (いんがい)
院外 (いんがい)
飲酒 (いんしゅ)
飲食 (いんしょく)
員数 (いんすう)
院生 (いんせい)
院長 (いんちょう)
飲用 (いんよう)
植木 (うえき)
羽化 (うか)
右岸 (うがん)
雨期 (うき)
受取 (うけとり)
受身 (うけみ)
馬面 (うまづら)
馬主 (うまぬし)
上着 (うわぎ)
上向 (うわむ)
上役 (うわやく)
運休 (うんきゅう)
運行 (うんこう)
運算 (うんざん)
運送 (うんそう)
運転 (うんてん)
運動 (うんどう)
運筆 (うんぴつ)
運命 (うんめい)
運用 (うんよう)
駅員 (えきいん)
駅長 (えきちょう)
駅前 (えきまえ)
駅名 (えきめい)
遠泳 (えんえい)
円柱 (えんちゅう)
円安 (えんやす)
遠洋 (えんよう)
遠路 (えんろ)
王宮 (おうきゅう)
横行 (おうこう)
王様 (おうさま)
王者 (おうじゃ)
横着 (おうちゃく)
横転 (おうてん)
大島 (おおしま)
大波 (おおなみ)
大橋 (おおはし)
大曲 (おおまがり)
大昔 (おおむかし)
大物 (おおもの)
大童 (おおわらわ)
悪寒 (おかん)
屋外 (おくがい)
屋上 (おくじょう)
屋内 (おくない)
落度 (おちど)
落葉 (おちば)
追手 (おって)
面白 (おもしろ)
面白 (おもしろ)
表口 (おもてぐち)
表地 (おもてじ)
重荷 (おもに)
母屋 (おもや)
親指 (おやゆび)
音階 (おんかい)
音感 (おんかん)
温室 (おんしつ)
温水 (おんすい)
音速 (おんそく)
温度 (おんど)
音波 (おんぱ)
温風 (おんぷう)
温和 (おんわ)
会員 (かいいん)
海員 (かいいん)
開院 (かいいん)
海運 (かいうん)
開運 (かいうん)
開園 (かいえん)
開化 (かいか)
開花 (かいか)
階下 (かいか)
開会 (かいかい)
会館 (かいかん)
開館 (かいかん)
海岸 (かいがん)
会期 (かいき)
階級 (かいきゅう)
開局 (かいきょく)
開業 (かいぎょう)
海港 (かいこう)
開校 (かいこう)
開港 (かいこう)
開国 (かいこく)
開始 (かいし)
開室 (かいしつ)
会所 (かいしょ)
開場 (かいじょう)
階上 (かいじょう)
階数 (かいすう)
回想 (かいそう)
回送 (かいそう)
会談 (かいだん)
階調 (かいちょう)
開通 (かいつう)
回転 (かいてん)
開店 (かいてん)
開発 (かいはつ)
開平 (かいへい)
開放 (かいほう)
開明 (かいめい)
海面 (かいめん)
界面 (かいめん)
買物 (かいもの)
開門 (かいもん)
回遊 (かいゆう)
海洋 (かいよう)
海流 (かいりゅう)
回路 (かいろ)
海路 (かいろ)
下院 (かいん)
家屋 (かおく)
顔役 (かおやく)
下界 (かかい)
係員 (かかりいん)
係長 (かかりちょう)
化学 (かがく)
夏期 (かき)
書取 (かきとり)
下級 (かきゅう)
火急 (かきゅう)
歌曲 (かきょく)
家業 (かぎょう)
客員 (かくいん)
客死 (かくし)
角柱 (かくちゅう)
角度 (かくど)
家具 (かぐ)
神楽 (かぐら)
化合 (かごう)
歌集 (かしゅう)
家事 (かじ)
火事 (かじ)
荷重 (かじゅう)
化石 (かせき)
家族 (かぞく)
勝気 (かちき)
勝手 (かって)
活発 (かっぱつ)
活動 (かつどう)
活路 (かつろ)
家庭 (かてい)
荷電 (かでん)
下等 (かとう)
金具 (かなぐ)
金物 (かなもの)
下表 (かひょう)
下部 (かぶ)
上期 (かみき)
神様 (かみさま)
紙屋 (かみや)
神世 (かみよ)
神代 (かみよ)
火薬 (かやく)
身体 (からだ)
空身 (からみ)
下流 (かりゅう)
軽業 (かるわざ)
館員 (かんいん)
感化 (かんか)
寒気 (かんき)
感光 (かんこう)
感心 (かんしん)
漢字 (かんじ)
感想 (かんそう)
寒村 (かんそん)
感知 (かんち)
寒中 (かんちゅう)
館長 (かんちょう)
感電 (かんでん)
感度 (かんど)
感動 (かんどう)
館内 (かんない)
神主 (かんぬし)
寒波 (かんぱ)
漢文 (かんぶん)
寒風 (かんぷう)
感服 (かんぷく)
漢方 (かんぽう)
寒流 (かんりゅう)
漢和 (かんわ)
外界 (がいかい)
外局 (がいきょく)
外向 (がいこう)
外相 (がいしょう)
外注 (がいちゅう)
外皮 (がいひ)
外部 (がいぶ)
外面 (がいめん)
外遊 (がいゆう)
